#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure,Document
2021-11-30,1106.97,02,Serveis generals,,,"VODAFONE ESPAÑA, SAU",CONSUM FIXES VEU + DADES SETEMBRE 2021,5900202717
2021-11-30,0.99,02,Serveis generals,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 16/10/2021 A L'11/11/2021,Emit-2154110522 1786
2021-11-30,4.8,03,Seguretat ciutadana,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 16/10/2021 A L'11/11/2021,Emit-2154110522 1786
2021-11-30,7.94,03,Seguretat ciutadana,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 16/10/2021 A L'11/11/2021,Emit-2154110522 1786
2021-11-30,111.59,03,Seguretat ciutadana,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 16/10/2021 A L'11/11/2021,Emit-2154110522 1786
2021-11-30,0.99,02,Serveis generals,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 12/11/2021 A L'11/12/2021,Emit-2154110571 1805
2021-11-30,4.8,03,Seguretat ciutadana,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 12/11/2021 A L'11/12/2021,Emit-2154110571 1805
2021-11-30,7.94,03,Seguretat ciutadana,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 12/11/2021 A L'11/12/2021,Emit-2154110571 1805
2021-11-30,111.59,03,Seguretat ciutadana,,,"ZENON DIGITAL RADIO, SL.",ARRENDAMENT FINANCER 6 TERMINALS POLICIA LOCAL DEL 12/11/2021 A L'11/12/2021,Emit-2154110571 1805
2021-12-14,21745.15,06,Serveis municipals i via pública,,,"ETRA BONAL, S.A.",ENLLUMENAT NADAL 2020/2021,21-01345
2021-12-16,38.04,02,Serveis generals,,,"COMERCIA GLOBAL PAYMENTS ENTIDAD DE PAGO, S.L.",SERVEIS D'ADQUIRENCIA 11/2021,08975MD 4700853
2021-12-16,218.4,02,Serveis generals,,,ENTITAT AUTONOMA DEL DIARI OFICIAL I PUBL. DE LA GENERALITAT,PUBLICACIÓ TAXA 21.322.054 - ANUNCI PLAÇA ARQUITECTE TÈCNIC,A/20210012925
2021-12-17,245.68,17,Ocupació,,,"ABAST SYSTEMS, SA",ARRENDAMENT 16 ORDINADORS PER AL CFA. EL ROURE QUOTA 3/48 -DESEMBRE 2021-,21010238
2021-12-17,157.3,20,Promoció econòmica,,,"ADAMO TELECOM IBERIA, SA",SERVEI INTERNET CAN GAVARRA DESEMBRE 2021,2096857
2021-12-17,1084.14,14,Dona i igualtat,,,"ADAMUZ PASTOR, MONICA",SERVEI PSICOLOGIC A LA DONA I FILLS VULNERABILITAT NOVEMBRE 2021,116
2021-12-17,5287.7,15,Salut i consum ,,,"AFIA 2005, SL",INSPECCIÓ ESTABLIMENTS ALIMENTARIS,FV.2021-245
2021-12-17,459.64,20,Promoció econòmica,,,AFIS - Corredoria d'assegurances,SUSPENSIÓ D'ESPECTACLES) MERCAT DE NADAL 2021,20210066
2021-12-17,1150.0,02,Serveis generals,,,AFIS - Corredoria d'assegurances,SERVEI ASSESOR I MEDIACIÓ ASSEG. DEL 10/12/2021 AL 10/03/2021,20210068
2021-12-17,847.7,10,Joventut,,,AGENCIA CATALANA DE LA JOVENTUT -GENERALITAT DE CATALUNYA-,CARNET JOVE GENERALITAT JOVENTUT  PROJECTE 18,80/186
2021-12-17,560.0,17,Ocupació,,,"ALONSO REPRESA, JOSE",INTRODUCCIÓ A LINKEDIN 22/11/21,FR/037
2021-12-17,181.5,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA",DESINFECCION AMBIENTAL AL ROURE,21FA116779
2021-12-17,259.88,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINSECTACIÓ, DESRATITZACIÓ I CONTROL PLAGUES NOVEMBRE 2021",21FA117178
2021-12-17,1271.54,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINSECTACIÓ, DESRATITZACIÓ I CONTROL PLAGUES NOVEMBRE 2021",21FA117178
2021-12-17,63.98,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINFECTACIÓ, DESRATITZACIÓ CAN GAVARRA NOVEMBRE 2021",21FA117179
2021-12-17,1531.42,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINSECTACIÓ, DESRATITZACIÓ I CONTROL PLAGUES DESEMBRE 2021",21FA118769
2021-12-17,63.98,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINSECTACIÓ, DESRATITZACIÓ CAN GAVARRA DESEMBRE 2021",21FA118770
2021-12-17,14428.52,05,Obres,,,"ASFALTOS DEL VALLÈS, SA",EXECUCIÓ REDUCTORS DE VELOCITAT AL CAMÍ DE SERRA BARONA,AV20210279
2021-12-17,5445.0,02,Serveis generals,,,"AULOCE, S.A. ( ESPUBLICO )",SERVEIS TECNOLOGIA GESTIONA: SERVEI DE MILLORA CONTINUA 2021,2021 202118803
2021-12-17,523.78,11,Educació,,,"AVANT GRUP BARDET, SL",SORTIDA ALUMNES A VAPOR LLONCH,N230-21
2021-12-17,261.89,11,Educació,,,"AVANT GRUP BARDET, SL",SERVEI MAIN TERRASSA,N231-21
2021-12-17,420.11,11,Educació,,,"AVANT GRUP BARDET, SL",SERVEI MAIN TERRASSA,N231-21
2021-12-17,23.99,20,Promoció econòmica,,,"BASSO,S.A.",CÒPIES I FOTOCOPIES CAN GAVARRA DEL 26/10/21 AL 23/11/2021,2021-215293
2021-12-17,104.19,18,Serveis de manteniment d'edificis i inversions,,,"CABALLE SALAS, ESTEVE - VERD ART AMB FLOR",MANTENIMENT JARDINERIA NOVEMBRE 2021,5190
2021-12-17,198.31,18,Serveis de manteniment d'edificis i inversions,,,"CABALLE SALAS, ESTEVE - VERD ART AMB FLOR",MANTENIMENT JARDINERIA NOVEMBRE 2021,5190
2021-12-17,12.45,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",COPIES CLAUS PERE CALDERS,210349
2021-12-17,307.55,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIAL MANTENIMENT CENTRE CIVIC,210357
2021-12-17,36.77,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIAL MANTENIMENT ESCOLA PERE CALDERS,210401
2021-12-17,52.02,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIAL MANTENIMENT CAN GAVARRA,210402
2021-12-17,5.05,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA - FERRALI",MATERIAL EDIFICI AJUNTAMENT,210405
2021-12-17,302.5,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",FOTOGRAFIES FESTA DE LES MASCOTES 07/11/2021,37/2021
2021-12-17,302.5,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",FOTOGRAFIES SETMANA EUROPEA PREVENCIÓ DE RESIDUS 25/11/21,39/2021
2021-12-17,302.5,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"CANO DE ARRIBAS, JOSEP",FOTOGRAFIES 25/11/21 -CASAL DE JOVES- DIA INTERN.CONTRA LA VIOLÈNCIA DE GÈNERE,41/2021
2021-12-17,24.44,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANTENIMENT CLIMA (EL ROURE, AAPP, GINESTA I CAMP DE FUTBOL) OCTUBRE 2021",182120446
2021-12-17,70.79,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANTENIMENT CLIMA (EL ROURE, AAPP, GINESTA I CAMP DE FUTBOL) OCTUBRE 2021",182120446
2021-12-17,133.79,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANTENIMENT CLIMA (EL ROURE, AAPP, GINESTA I CAMP DE FUTBOL) OCTUBRE 2021",182120446
2021-12-17,242.9,06,Serveis municipals i via pública,,,"CATALANA DE CLIMA I C.LLONCH,S.L.","MANTENIMENT CLIMA (EL ROURE, AAPP, GINESTA I CAMP DE FUTBOL) OCTUBRE 2021",182120446
2021-12-17,82.07,18,Serveis de manteniment d'edificis i inversions,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIALS MANTENIMENT TRAFIC VIA PUBLICA,203229
2021-12-17,165.39,08,Cultura,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIALS VARIS CULTURA,203230
2021-12-17,26.02,18,Serveis de manteniment d'edificis i inversions,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIAL PERSIANA PERE CALDERS,204084
2021-12-17,21780.0,20,Promoció econòmica,,,"CLUSTER DEVELOPMENT, SL","HONORARIS 50% FINALITZACIÓ 1R FASE DELS SERVEIS DE CONSULTORIA DEL PROGRAMA TALENT, TECN. I TREBALL",2021-35
2021-12-17,1675.45,18,Serveis de manteniment d'edificis i inversions,,,"CONFECCIONES INDUSTRIALES VALLS, SA",VESTUARI HIVERN BRIGADA,Emit- 2068
2021-12-17,11.74,18,Serveis de manteniment d'edificis i inversions,,,"CONFECCIONES INDUSTRIALES VALLS, SA",CANVI PANTALÓ VESTUARI HIVERN BRIGADA,Emit- 2069
2021-12-17,258.75,20,Promoció econòmica,,,"CONGOST - VIGILANCIA Y SEGURIDAD, SL",SERVEI DE VIGILÀNCIA I ALARMA CAN GAVARRA -NOVEMBRE 2021-,VV/VV01 313905
2021-12-17,5370.34,16,Serveis socials,,,CONSELL COMARCAL DEL VALLES OCCIDENTAL,SAD OCTUBRE 2021,409/2021
2021-12-17,5293.11,16,Serveis socials,,,CONSELL COMARCAL DEL VALLES OCCIDENTAL,SAD -SETEMBRE 2021-,Resol n. 392/2021
2021-12-17,140.97,02,Serveis generals,,,Consorci Administració Oberta Cat,RENOVACIÓ TARGETES IDCAT,A 38258
2021-12-17,180.68,02,Serveis generals,,,Consorci Administració Oberta Cat,CERTIFICAT DE SEGELL GESTIONA,A 38431
2021-12-17,36.3,15,Salut i consum ,,,"CREALFA,S.L.",OBSEQUI PARAIGÜES FESTA DE LES MASCOTES 2021,AA 21005490
2021-12-17,741.12,15,Salut i consum ,,,"CREALFA,S.L.",OBSEQUI PARAIGÜES FESTA DE LES MASCOTES 2021,AA 21005490
2021-12-17,36.3,15,Salut i consum ,,,"CREALFA,S.L.",MATERIALS VARIS FESTA DE LES MASCOTES,AA 21005506
2021-12-17,2459.68,15,Salut i consum ,,,CREU ROJA - Assemblea local de Sentmenat,ACTES FM DE TARDOR DE POLINYÀ -1 AL 11 D'OCTUBRE DE 2021-,08267-2021-10-4-N
2021-12-17,551.7,15,Salut i consum ,,,CREU ROJA - Assemblea local de Sentmenat,"GIMCANA DE CAVALLS I MANEJABILIDAD -16, 17 D'OCTUBRE DE 2021-",08267-2021-10-5-N
2021-12-17,548.86,15,Salut i consum ,,,CREU ROJA - Assemblea local de Sentmenat,MUNTATGE TOTEM PER APARELL DESFIBRIL-LADOR,08999-2021-11-7-N
2021-12-17,1797.13,08,Cultura,,,"DIMAS ( EMPRESA D'INSERCIÓ SOCIAL, S.L.)",LLOGUER I TRANSPORT CADIRES FM POLINYA 2021,2021 000380
2021-12-17,9.68,02,Serveis generals,,,"DIMO EXPRES, S.L. - UNIPOST, SERVICIO POSTAL GLOBAL",SERVEI DE CORRESPONDENCIA -NOVEMBRE 2021-,94
