#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
11,3231,13000,,279202.0,,279202.0,130450.52
11,3231,13002,,330461.0,,330461.0,166199.26
11,3231,14300,,11242.0,,11242.0,32179.4
11,3231,15000,,12600.0,,12600.0,
11,3231,15100,,9000.0,,9000.0,12385.35
11,3231,16000,,182966.0,,182966.0,83674.68
11,3231,21500,,1600.0,30.01,1630.01,147.54
11,3231,21600,,550.0,,550.0,
11,3231,21900,,750.0,,750.0,
11,3231,22104,,1000.0,,1000.0,
11,3231,22106,,50.0,,50.0,23.2
11,3231,22199,,7000.0,,7000.0,480.34
11,3231,22200,,1500.0,5.05,1505.05,374.09
11,3231,22203,,,,,1625.27
11,3231,22602,,500.0,,500.0,
11,3231,22610,,900.0,,900.0,318.51
11,3231,62501,,6000.0,,6000.0,
11,3231,62601,,600.0,,600.0,1568.43
11,3231,63201,,,35379.16,35379.16,17533.13
11,3231,64800,,770.0,,770.0,128.24
11,3232,14300,,,,,818.23
12,9290,12003,,10508.0,,10508.0,5319.29
12,9290,12004,,26237.0,,26237.0,7136.96
12,9290,12006,,4809.0,,4809.0,1682.57
12,9290,12100,,18460.0,,18460.0,5894.23
12,9290,12101,,50310.0,,50310.0,17506.74
12,9290,14300,,14421.0,,14421.0,11229.36
12,9290,15000,,3000.0,,3000.0,
12,9290,16000,,32443.0,,32443.0,10966.92
12,9290,21500,,700.0,480.84,1180.84,933.07
12,9290,21600,,800.0,,800.0,1306.8
12,9290,22000,,1000.0,145.88,1145.88,686.53
12,9290,22199,,,,,
12,9290,22200,,2000.0,361.42,2361.42,525.24
12,9290,22299,,,,,
12,9290,22602,,1000.0,,1000.0,21.78
12,9290,22717,,1200.0,,1200.0,1113.39
12,9290,35800,,,,,63.6
12,9290,62501,,1200.0,,1200.0,521.51
12,9290,63200,,65000.0,,65000.0,
12,9290,64800,,1200.0,171.38,1371.38,447.2
12,9293,12004,,8746.0,,8746.0,1749.49
12,9293,12006,,784.0,,784.0,124.59
12,9293,12100,,3796.0,,3796.0,760.45
12,9293,12101,,10613.0,,10613.0,2126.31
12,9293,13100,,26698.0,,26698.0,11569.95
12,9293,14300,,14421.0,,14421.0,11211.28
12,9293,15000,,1800.0,,1800.0,
12,9293,15100,,,,,1679.8
12,9293,16000,,19100.0,,19100.0,9205.97
12,9293,22200,,2500.0,113.68,2613.68,1266.78
12,9293,35800,,172.0,100.0,272.0,36.96
12,9293,64800,,1100.0,,1100.0,320.32
13,340,13000,,12306.0,,12306.0,6245.39
13,340,13002,,24314.0,,24314.0,12568.32
13,340,15000,,600.0,,600.0,
13,340,15100,,,,,152.81
13,340,16000,,11307.0,,11307.0,5701.95
13,341,22608,,1000.0,,1000.0,
13,341,22609,,16100.0,68.97,16168.97,12788.13
13,341,48900,,44000.0,10860.0,54860.0,3887.33
13,342,20800,,,,,748.42
13,342,21200,,2000.0,,2000.0,
13,342,22106,,180.0,,180.0,243.6
13,342,22199,,3600.0,156.5,3756.5,689.61
13,342,22200,,1800.0,412.96,2212.96,864.41
13,342,22707,,,1009.95,1009.95,3394.74
13,342,22709,,136000.0,63762.22,199762.22,96262.22
13,342,22710,,4000.0,,4000.0,
13,342,62501,,1000.0,,1000.0,474.78
13,342,63200,,80000.0,165075.05,245075.05,115542.17
14,231,22608,,3650.0,57.86,3707.86,1688.32
14,231,22706,,9000.0,2810.0,11810.0,4643.32
14,231,48900,,2040.0,408.0,2448.0,1632.0
15,311,12001,,13996.0,,13996.0,6872.76
15,311,12006,,2829.0,,2829.0,1338.89
15,311,12100,,7441.0,,7441.0,3670.69
15,311,12101,,11243.0,,11243.0,6086.85
15,311,15000,,600.0,,600.0,
15,311,16000,,8898.0,,8898.0,4448.76
15,311,21200,,,,,1606.88
15,311,22199,,4000.0,,4000.0,542.15
15,311,22608,,4250.0,,4250.0,137.11
15,311,22709,,49258.0,1089.0,50347.0,6582.98
15,311,48003,,300.0,300.0,600.0,
15,311,48200,,4000.0,,4000.0,
15,311,62501,,100.0,,100.0,
16,231,13000,,50629.0,,50629.0,24555.77
16,231,13002,,56165.0,,56165.0,29204.74
16,231,15000,,1800.0,,1800.0,
16,231,15100,,1000.0,,1000.0,1000.0
16,231,16000,,32557.0,,32557.0,16478.56
16,231,21400,,1000.0,,1000.0,127.96
16,231,22103,,300.0,,300.0,127.62
16,231,22199,,500.0,,500.0,
16,231,22200,,500.0,,500.0,
16,231,22709,,40000.0,,40000.0,19949.0
16,231,22710,,35000.0,,35000.0,
16,231,46500,,145000.0,17775.24,162775.24,38019.3
16,231,48000,,65000.0,1589.75,66589.75,18299.28
16,231,48003,,50000.0,2281.02,52281.02,11593.16
16,231,48004,,6000.0,,6000.0,
