#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2019-01-25,151.25,18,Serveis de manteniment d'edificis i inversions,,,"FIELDTURF POLIGRAS, S.A.",MANTENIMENT GESPA ARTIFICIAL 2N TRIMESTRE 2018,FE18 2006165
2019-01-25,192.72,02,Serveis generals,,,"GARCIA-TREVIJANO HINOJOSA, JOSE ERNESTO ( REGISTRO PROPIEDAD SABADELL)",NOTA REGISTRE,43
2019-01-25,291.05,02,Serveis generals,,,"GARCIA-TREVIJANO HINOJOSA, JOSE ERNESTO ( REGISTRO PROPIEDAD SABADELL)",NOTES REGISTRE,44
2019-01-25,1610.44,18,Serveis de manteniment d'edificis i inversions,,,"JOMAG, SL",LLOGUER NAU BRIGADA GENER 2019,0010
2019-01-25,162.0,18,Serveis de manteniment d'edificis i inversions,,,"JORDI L'ESPIGOL JARDINER, S.L.",MANTENIMENT JARDINERIA NOVEMBRE 2018 - CAN GAVARRA,10242
2019-01-25,2297.68,06,Serveis municipals i via pública,,,"JORDI L'ESPIGOL JARDINER, S.L.",MANTENIMENT JARDINERIA CAN ROVIRA D1 - NOVEMBRE 2018,10243
2019-01-25,50.0,10,Joventut,,,JOVENTUT,SERVEI TAXI TORNADA ACTIVITAT NADAL JOVE - BESTRETA,18023
2019-01-25,209.5,10,Joventut,,,JOVENTUT,MATERIAL NADAL JOVE - BESTRETA,00218007034
2019-01-25,20.1,10,Joventut,,,JOVENTUT,TRANSPORT SORTIDA PLATJA JOVES - BESTRETA,2
2019-01-25,20.1,10,Joventut,,,JOVENTUT,TRANSPORT SORTIDA PLATJA JOVES - BESTRETA,1
2019-01-25,113.79,10,Joventut,,,JOVENTUT,MATERIAL NADAL JOVE - BESTRETA,6232018004032
2019-01-25,5.0,10,Joventut,,,JOVENTUT,MATERIAL NADAL JOVE - BESTRETA,00347/18
2019-01-25,20.1,10,Joventut,,,JOVENTUT,TRANSPORT SORTIDA AL MUSEU JOVES - BESTRETA,3
2019-01-25,3.65,02,Serveis generals,,,"MARCTECNIC POLINYA, S. L.",BLOC EFICIENT URBANISME,02163
2019-01-25,936.0,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"MIRADA LOCAL, SL",REDACCIÓ I DISSENY BUTLLETÍ MPAL OCTUBRE 2018,894
2019-01-25,936.0,09,"Comunicació, participació ciutadana i qualitat democràtica",,,"MIRADA LOCAL, SL",REDACCIÓ I DISSENY GRAFIC REVISTA INF. POLINYA ( NOVEMBRE 2018),918
2019-01-25,36.3,17,Ocupació,,,"OMNIA AV, S.C.P.",LLAPIS PISSARRA Smart SB-480 PER FORMACIÓ,A/18273
2019-01-25,223.86,02,Serveis generals,,,ONEDIRECT COMUNICACIONES SL,CASC INALÀMBRIC RECEPCIÓ AJUNTAMENT,FB18026352
2019-01-25,530.0,14,Dona i igualtat,,,"PASCUAL VILARÓ, MIREIA",ACTUACIÓ PROJECTE LILITH 23 NOVEMBRE VIOLÈNCIA GÈNERE,1
2019-01-25,420.0,02,Serveis generals,,,"POLICLINICA PERE GRAU, S.L.",REVISIONS TREBALLADORS,812/18
2019-01-25,960.0,20,Promoció econòmica,,,"QUADRANT ALFA, SL",RECULL FACEBOOK I TWITTER 19/11/18 - 26/11/18,127
2019-01-25,399.97,02,Serveis generals,,,QUIRÓN PREVENCIÓN SLU,SERTVEI PREVENCIÓ RISCOS LABORALS DESEMBRE 2018,0118472875
